index,time_ms,ok,n_pre_bins,fp_delay_ns,fp_idx,P_signal,P_interf_mean,P_interf_max,sir_db,sir_peak_db,prepath_floor_db,fcs_pass
171,872.379698,1,14,1.001603,17,3.192486e-01,1.064966e-04,4.041029e-04,34.7679,28.9764,-34.7679,1
172,877.379697,1,14,1.001603,17,3.646195e-01,1.342743e-04,5.043669e-04,34.3385,28.5909,-34.3385,1
173,882.379698,1,14,1.001603,17,3.997273e-01,2.915413e-05,3.927828e-04,41.3706,30.0761,-41.3706,1
174,887.244065,1,14,1.001603,17,2.788382e-01,1.196414e-06,4.002374e-06,53.6747,48.4303,-53.6747,1
175,892.515332,1,14,1.001603,17,3.949072e-01,2.218477e-04,1.737388e-03,32.5044,23.5660,-32.5044,0
176,897.515329,1,14,1.001603,17,1.828607e-01,5.476658e-06,5.340106e-05,45.2360,35.3457,-45.2360,0
177,902.515332,1,14,1.001603,17,2.262445e-01,1.173262e-06,6.052780e-06,52.8518,45.7262,-52.8518,1
178,907.379697,1,14,1.001603,17,3.576781e-01,2.269425e-06,1.665453e-05,51.9758,43.3196,-51.9758,1
179,912.379698,1,14,1.001603,17,3.898518e-01,1.258268e-04,4.117043e-04,34.9113,29.7631,-34.9113,1
180,917.379698,1,14,1.001603,17,3.790898e-01,7.068322e-05,9.323209e-04,37.2943,26.0918,-37.2943,0
181,922.379697,1,14,1.001603,17,2.206803e-01,1.137195e-06,5.273233e-06,52.8793,46.2169,-52.8793,1
182,927.379697,1,14,1.001603,17,2.663002e-01,3.948434e-06,8.277020e-06,48.2895,45.0750,-48.2895,1
183,932.379698,1,14,1.001603,17,3.191297e-01,1.091826e-04,4.193377e-04,34.6581,28.8140,-34.6581,1
184,937.515331,1,14,1.001603,17,2.653930e-01,2.670205e-04,5.526476e-04,29.9734,26.8144,-29.9734,0
185,942.379698,1,14,1.001603,17,3.874530e-01,9.796896e-06,1.230394e-04,45.9713,34.9817,-45.9713,1
