index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
27,1,57657576,57657576,133042,0.995181210430671,0.950231439867463,0.37,-180.02789438887,-3099.32467473415-107.771780124458i,0.828918568580681+0.101597579848778i,0.837227928292997+0.109828180298797i,8.20944928965513,0,1,
28,1,59869062,59869062,133042,0.994616810188722,0.942851662990109,0.4,-99.920476091149,-751.892759968311-3008.21712126499i,0.832365914779051+0.0425032532510507i,0.838225104795631+0.0838017624479356i,8.13779224825504,0,1,
29,1,62080323,62080323,133042,0.994914235574145,0.981233676008995,0.21,-124.91291576668,2647.48970564325+1591.73535919739i,0.834333391713635+0.0745377812998307i,0.843159504695441+0.0607281124726845i,8.05796353256183,0,1,
30,1,64307299,64307299,133042,0.9944714483966,0.92015275989231,-0.48,-198.88743736522,1481.33494670187-2730.53321489121i,0.828380221833846+0.0975957993549105i,0.828432820491809+0.15454636239248i,8.21144232115105,0,1,
31,1,66504405,66504405,133042,0.995659486867978,0.995604551728845,0,-165.685613005902,2354.47969295079-1981.18088957339i,0.83422809750955+0.0404724291866356i,0.83765790725572+0.0988814481251767i,8.19750911568489,0,1,
32,1,68716569,68716569,133042,0.995144031262227,0.9666667674763,0.3,-175.656865572548,-3052.74409076991-531.375173534222i,0.833405409062021+0.0603907287541486i,0.832201476030911+0.142828209558423i,8.05127316857923,0,1,
33,1,70929744,70929744,133042,0.994845073738837,0.934164529792606,0.43,-100.886571082724,-2611.36495985991+1681.89548138344i,0.830623992070504+0.0842128045846277i,0.83994216556738+0.0762420168639106i,8.06488587027039,0,1,
34,1,73139777,73139777,133042,0.995297872697195,0.99133686358621,0.11,-178.122534501117,-2368.79786460739-1971.71138101575i,0.832936004132757+0.0801449131954568i,0.834642138768451+0.135442394006008i,8.08081261565201,0,1,
35,1,75352509,75352509,133042,0.994414042245248,0.973306640421525,0.26,-119.627302329106,359.839789471341-3073.95810542837i,0.836472391445795+0.0147842196970423i,0.842291972947591+0.0497913999310595i,8.18015260385177,0,1,
36,1,77574232,77574232,133042,0.995195312852601,0.963715819821213,0.31,-124.28476779977,2943.00546147644+970.759440604529i,0.833615043769733+0.0698859190346538i,0.840794293060183+0.0742729031447265i,8.05987616081576,0,1,
37,1,79776437,79776437,133042,0.994665323365899,0.977362563269427,0.24,-266.088678047927,1596.91639623842+2647.03249088403i,0.82848926315665+0.117151840624767i,0.834578137928447+0.13408568368239i,8.42941225234251,0,1,
38,1,81987084,81987084,133042,0.994917093649723,0.934363149735247,-0.43,-185.002745709991,415.135309787579+3080.16788508724i,0.831333093648963+0.0631996072200307i,0.835913422629008+0.105122634526283i,8.21669446453184,0,1,
39,1,84199756,84199756,133042,0.994139584570167,0.933123666936325,0.43,-105.019766747834,-1213.43061452876-2859.76889270745i,0.827142340437567+0.108177470696267i,0.840529244484208+0.0649021737878762i,7.96833237973151,0,1,
40,1,86419076,86419076,133042,0.994962369997485,0.949979257400398,-0.37,-204.840682391024,-2648.58957433249+1621.22911834265i,0.829830165156885+0.0762809227473442i,0.829409301755093+0.148842628569399i,8.2492129843534,0,1,
41,1,88623614,88623614,133042,0.994963302594005,0.942690474295644,-0.4,-64.4827557591384,-2184.25485332002-2207.75633407525i,0.833497108306059-0.0140908322976653i,0.84039607028906+0.0339344588224992i,7.98757611871044,0,1,
42,1,90835082,90835082,133042,0.995216164915524,0.925829084641696,-0.46,-167.657187791577,2577.4292593408+1738.62948761788i,0.83209784153089+0.0319763135458423i,0.839284259318652+0.0684077195996114i,8.02836565454015,0,1,
43,1,93047684,93047684,133042,0.995526722254406,0.97541084123754,-0.25,-232.809641223386,-2901.57088579064-1079.61062198913i,0.822713882005077+0.133682403980274i,0.824940094636101+0.178146806289428i,8.06134076827811,0,1,
44,1,95258898,95258898,133042,0.994865966003026,0.98933068177767,-0.13,-156.968275969705,-2241.66642082188-2115.12703301095i,0.832769378888996+0.0417314011911144i,0.841118348965493+0.0558127804281418i,8.10986503913403,0,1,
45,1,97470566,97470566,133042,0.995152401772464,0.995138687449366,0,-129.444044325039,-292.097433247886-3064.9436112252i,0.831730922949467+0.0820895568882131i,0.840891420505562+0.0548974243808358i,8.16706559920523,0,1,
46,1,99692856,99692856,133042,0.994825451784108,0.934492457080457,0.43,-209.517775576148,2817.53919022498+1310.65508344893i,0.830584254462995+0.0716533651462491i,0.835911337863476+0.105559779049273i,8.35516293904997,0,1,
47,1,101894914,101894914,133042,0.994536485561046,0.941957650111677,-0.4,-146.697351058462,-102.584803436565+3102.87257118359i,0.831181868075507+0.0629073439327877i,0.836332608909159+0.102322439864528i,8.18830494106049,0,1,
48,1,104105761,104105761,133042,0.99539938901397,0.989057326554955,-0.14,-74.4637534912891,3055.04997263307-422.561263327066i,0.835320434758414+0.0280644717912879i,0.841578150090971+0.0659489320742722i,7.98404393620461,0,1,
49,1,106317974,106317974,133042,0.994388128941628,0.938346288868936,-0.42,-103.173146403931,-2924.08377804541+1044.96956151054i,0.832343615432774+0.0141258558191478i,0.839055642533844+0.0600817645386841i,8.11191461047597,0,1,
