index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
1661,1,628279843,628279843,227565,0.987466032348751,0.976649092341267,0.11,-1630.62001452626,-2411.24178754784+3666.0962711733i,0.85809592944951+0.000810838430170299i,0.873791878749779-0.0206420999927328i,14.6653007745092,0,1,
1662,1,628658314,628658314,227565,0.98657869900453,0.947907244577025,-0.26,-1626.64466836271,1619.63756818052-4141.49531154385i,0.855841443391151-0.048076547974964i,0.874065264497796-0.0588217886381331i,14.5188611578124,0,1,
1663,1,629036784,629036784,227565,0.986556616013047,0.921336502484456,0.34,-1644.13692160459,-998.275789823271+4360.38025112295i,0.851359428660388-0.0110548432020039i,0.866596233629522-0.0329334360515078i,14.1777554940661,0,1,
1664,1,629415255,629415255,227565,0.98751095051991,0.978512779001141,-0.0899999999999999,-1622.21173333039,153.263080328254-4380.17996937105i,0.859604950203558-0.00201339611653226i,0.880440760465348-0.0367405192540835i,14.8216288726709,0,1,
1665,1,629793725,629793725,227565,0.986907892742339,0.945733847528867,0.27,-1648.68744710091,5.50941169667041+4447.85569171572i,0.854309767079784-0.0034971829464545i,0.875852442830398-0.0327147899568737i,14.380649797634,0,1,
1666,1,630172196,630172196,227565,0.985392382853784,0.966938167384411,0.16,-1639.29443828371,-1550.82248041991-4106.89363820759i,0.847366834504784-0.00491599641391384i,0.865569035505086-0.0157820460622375i,13.9047230576956,0,1,
1667,1,630550666,630550666,227565,0.986909988831956,0.96419464561539,0.19,-1646.74793179057,988.092758242276+4303.90370557426i,0.854577636754592+0.00729244261811498i,0.877718274625065-0.0263752614447719i,14.451182248111,0,1,
1668,1,630929137,630929137,227565,0.987622433895765,0.961936137807524,0.21,-1607.46377367561,-2649.21748158538-3544.87926165108i,0.853983111449463-0.0336774355789623i,0.868879843918101-0.0575746027061328i,14.4710125769541,0,1,
1669,1,631307608,631307608,227565,0.987030690733313,0.919395621299119,-0.35,-1638.29293467748,3007.12179984513+3320.13506296251i,0.851828501840142+0.00888626323743039i,0.867759464850551-0.0301659523459881i,14.3334011580494,0,1,
1670,1,631686078,631686078,227565,0.986746881232198,0.961462637038488,-0.2,-1637.13132917031,-2870.49750637763-3362.64718930836i,0.856648584670399+0.0144321687527102i,0.876683157487981-0.0215181368847436i,14.6267171138636,0,1,
1671,1,632064548,632064548,227565,0.986829293310892,0.94311450097397,0.28,-1629.47448789371,3192.86158054024+3101.69860094891i,0.851242523676289-0.039036326567481i,0.873386213807163-0.0488739795756949i,14.3548967294186,0,1,
1672,1,632443019,632443019,227565,0.987135612748515,0.943004556645282,-0.28,-1605.22497618588,-3642.68580956968-2561.12085435613i,0.855689338868326-0.0140738477067193i,0.868786063916508-0.0405516683947172i,14.3917659539739,0,1,
1673,1,632821490,632821490,227565,0.985912401532063,0.905806146840208,-0.38,-1666.67350422287,4249.90183924488+1433.0440215516i,0.852806110150151-0.00331201091208804i,0.867777221381114-0.0174808561477322i,14.2093482826907,0,1,
1674,1,633199960,633199960,227565,0.987772222504976,0.977667446344245,0.0999999999999999,-1639.54545577158,-4302.30871515741-852.209932506355i,0.858397922972803+0.00763262701695616i,0.880873820374318-0.0129592434034621i,14.6837907566017,0,1,
1675,1,633578431,633578431,227565,0.985748165276149,0.871851652378183,-0.45,-1642.77148735958,4486.70535031656+326.766722446212i,0.851623645406641-0.0260639726889805i,0.865535349924115-0.0202020710149199i,14.1569939422302,0,1,
1676,1,633956901,633956901,227565,0.9876709778932,0.975940486972297,-0.12,-1645.53993324481,-4390.84678479657-66.6654939052789i,0.859849201446314-0.0135740425783628i,0.880264008443054-0.0195673560157318i,14.7121029293482,0,1,
1677,1,634335371,634335371,227565,0.987014022320326,0.966409941026109,0.18,-1614.17163347345,4403.50313943452-269.469238133799i,0.855544617157471-0.0242291574880489i,0.878579242840502-0.0139432763252131i,14.5742885672457,0,1,
1678,1,634713842,634713842,227565,0.986107693715671,0.906303252143848,-0.38,-1616.88837638228,-4409.71931275261+782.70666282736i,0.851546086770759-0.0290919406556951i,0.866467052888797-0.050302063176377i,14.19939712863,0,1,
1679,1,635092312,635092312,227565,0.985854253016796,0.896723509544092,0.4,-1637.33019488714,4042.8942799743-1936.70611839169i,0.850545793371776-0.0198769997597725i,0.865220255238768-0.0200124721899743i,14.1684488329496,0,1,
