index,time_start_ms,time_end_ms,sfd,sfd_corr,psdu,fcs,recovered
180,322.811641,322.996457,"IEEE 802.15.4z SFD #2",0.8400,14,1,1
181,323.354178,323.538995,"IEEE 802.15.4z SFD #2",0.8169,14,0,1
182,328.298886,328.478738,"IEEE 802.15.4z SFD #2",0.7387,8,0,0
183,332.442295,332.627110,"IEEE 802.15.4z SFD #2",0.8475,14,1,1
184,332.984831,333.169647,"IEEE 802.15.4z SFD #2",0.8475,14,1,1
185,333.256097,333.440913,"IEEE 802.15.4z SFD #2",0.8475,14,1,1
186,337.325109,337.509926,"IEEE 802.15.4z SFD #2",0.7944,14,0,1
187,337.596376,337.781192,"IEEE 802.15.4z SFD #2",0.8255,14,1,1
188,338.138911,338.323728,"IEEE 802.15.4z SFD #2",0.7944,14,0,1
189,343.271067,343.456048,"IEEE 802.15.4z SFD #2",0.6141,13,0,0
190,347.419606,347.604422,"IEEE 802.15.4z SFD #2",0.8638,14,1,1
191,347.690873,347.875689,"IEEE 802.15.4z SFD #2",0.8677,14,1,1
192,347.962141,348.146956,"IEEE 802.15.4z SFD #2",0.8250,14,0,1
193,348.233408,348.418224,"IEEE 802.15.4z SFD #2",0.8638,14,1,1
194,352.302417,352.487233,"IEEE 802.15.4z SFD #2",0.8508,14,1,1
195,352.573686,352.758502,"IEEE 802.15.4z SFD #2",0.8507,14,1,1
196,352.844953,353.029769,"IEEE 802.15.4z SFD #2",0.8447,14,1,1
197,353.116219,353.301035,"IEEE 802.15.4z SFD #2",0.8508,14,1,1
198,357.456498,357.641315,"IEEE 802.15.4z SFD #2",0.8316,14,1,1
199,358.270300,358.455117,"IEEE 802.15.4z SFD #2",0.8316,14,1,1
200,362.339309,362.524125,"IEEE 802.15.4z SFD #2",0.8420,14,1,1
201,362.610577,362.795393,"IEEE 802.15.4z SFD #2",0.8420,14,1,1
202,362.881845,363.066661,"IEEE 802.15.4z SFD #2",0.8408,14,1,1
203,363.153111,363.337927,"IEEE 802.15.4z SFD #2",0.8420,14,1,1
204,368.290119,368.476124,"IEEE 802.15.4z SFD #2",0.8631,14,1,0
205,373.272933,373.452786,"IEEE 802.15.4z SFD #2",0.6724,8,0,0
206,377.416344,377.601161,"IEEE 802.15.4z SFD #2",0.6230,14,0,1
207,378.230145,378.414963,"IEEE 802.15.4z SFD #2",0.6230,14,0,1
208,382.299156,382.483972,"IEEE 802.15.4z SFD #2",0.8471,14,0,1
209,382.570424,382.755241,"IEEE 802.15.4z SFD #2",0.8541,14,1,1
210,382.841690,383.026506,"IEEE 802.15.4z SFD #2",0.8655,14,1,1
211,383.112958,383.297774,"IEEE 802.15.4z SFD #2",0.8471,14,0,1
212,387.453235,387.638051,"IEEE 802.15.4z SFD #2",0.8610,14,1,1
213,387.724504,387.909319,"IEEE 802.15.4z SFD #2",0.8610,14,1,1
214,387.995771,388.180588,"IEEE 802.15.4z SFD #2",0.8590,14,1,1
215,388.267037,388.451853,"IEEE 802.15.4z SFD #2",0.8610,14,1,1
216,392.336047,392.520862,"IEEE 802.15.4z SFD #2",0.6324,14,0,1
217,392.607316,392.792132,"IEEE 802.15.4z SFD #2",0.8451,14,1,1
218,392.878583,393.063401,"IEEE 802.15.4z SFD #2",0.8350,14,1,1
219,393.149849,393.334664,"IEEE 802.15.4z SFD #2",0.6324,14,0,1
220,397.218861,397.397375,"IEEE 802.15.4z SFD #2",0.5955,8,0,1
221,398.032663,398.211178,"IEEE 802.15.4z SFD #2",0.5955,8,0,1
222,402.372941,402.557758,"IEEE 802.15.4z SFD #2",0.8600,14,1,1
223,402.644207,402.829023,"IEEE 802.15.4z SFD #2",0.8713,14,1,1
224,403.186743,403.371560,"IEEE 802.15.4z SFD #2",0.8600,14,1,1
225,407.255754,407.440569,"IEEE 802.15.4z SFD #2",0.8697,14,1,1
226,407.527021,407.711837,"IEEE 802.15.4z SFD #2",0.8697,14,1,1
227,407.798288,407.983105,"IEEE 802.15.4z SFD #2",0.8672,14,1,1
228,408.069556,408.254371,"IEEE 802.15.4z SFD #2",0.8697,14,1,1
229,408.340822,408.525637,"IEEE 802.15.4z SFD #2",0.8697,14,1,1
230,412.409833,412.594649,"IEEE 802.15.4z SFD #2",0.8453,14,1,1
231,412.681101,412.865917,"IEEE 802.15.4z SFD #2",0.7647,14,0,1
232,413.223636,413.408451,"IEEE 802.15.4z SFD #2",0.8453,14,1,1
233,417.835181,418.019998,"IEEE 802.15.4z SFD #2",0.5997,14,0,1
234,422.446724,422.631540,"IEEE 802.15.4z SFD #2",0.8677,14,1,1
235,422.717992,422.902808,"IEEE 802.15.4z SFD #2",0.8674,14,1,1
236,422.989261,423.174078,"IEEE 802.15.4z SFD #2",0.8560,14,1,1
237,423.260527,423.445342,"IEEE 802.15.4z SFD #2",0.8677,14,1,1
238,427.329537,427.514353,"IEEE 802.15.4z SFD #2",0.8700,14,1,1
239,427.600806,427.785621,"IEEE 802.15.4z SFD #2",0.8700,14,1,1
240,427.872073,428.056889,"IEEE 802.15.4z SFD #2",0.8700,14,1,1
241,428.143339,428.328155,"IEEE 802.15.4z SFD #2",0.8700,14,1,1
242,432.212351,432.397167,"IEEE 802.15.4z SFD #2",0.8506,14,1,1
243,432.483618,432.668435,"IEEE 802.15.4z SFD #2",0.8431,14,1,1
244,433.026153,433.210969,"IEEE 802.15.4z SFD #2",0.8506,14,1,1
245,433.297420,433.482237,"IEEE 802.15.4z SFD #2",0.8431,14,1,1
246,437.366429,437.551245,"IEEE 802.15.4z SFD #2",0.7630,14,0,1
247,437.637697,437.822511,"IEEE 802.15.4z SFD #2",0.5645,14,0,1
248,438.180231,438.365047,"IEEE 802.15.4z SFD #2",0.7630,14,0,1
249,442.249242,442.434058,"IEEE 802.15.4z SFD #2",0.8683,14,1,1
250,442.520509,442.705328,"IEEE 802.15.4z SFD #2",0.6786,14,0,1
251,442.791778,442.976595,"IEEE 802.15.4z SFD #2",0.8595,14,1,1
252,443.063044,443.247860,"IEEE 802.15.4z SFD #2",0.8683,14,1,1
253,443.334311,443.519130,"IEEE 802.15.4z SFD #2",0.6786,14,0,1
